DATE,XCoord,FLOOD
28/6/2012,745400.2862,No
28/6/2012,745516.3715,No
28/6/2012,745823.7739,No
28/6/2012,746334.1745,No
28/6/2012,746759.335,No
28/6/2012,746798.4772,No
28/6/2012,746877.9982,No
28/6/2012,748100.5637,No
28/6/2012,748424.0412,No
28/6/2012,748653.5616,No
28/6/2012,749034.4647,No
28/6/2012,749901.8921,No
28/6/2012,751499.9972,No
28/6/2012,751566.9075,No
28/6/2012,751782.5326,No
28/6/2012,687631.2454,No
28/6/2012,690138.4388,No
28/6/2012,690699.5471,No
28/6/2012,692245.752,No
28/6/2012,692738.3367,No
28/6/2012,692742.9301,No
28/6/2012,693101.1945,No
28/6/2012,693555.5955,No
28/6/2012,693905.0451,No
28/6/2012,694022.2684,No
28/6/2012,694523.9423,No
28/6/2012,694706.5562,No
28/6/2012,696210.065,No
28/6/2012,696752.5543,No
28/6/2012,697797.8393,No
28/6/2012,698930.7909,No
28/6/2012,699370.226,No
28/6/2012,699919.8224,No
28/6/2012,700610.717,No
28/6/2012,700738.3455,No
28/6/2012,700814.1616,No
28/6/2012,701545.1593,No
28/6/2012,702368.401,No
28/6/2012,702568.4975,No
28/6/2012,702648.434,No
28/6/2012,702736.6425,No
28/6/2012,702842.9259,No
28/6/2012,703470.7586,No
28/6/2012,704062.9081,No
28/6/2012,705147.132,No
28/6/2012,706980.3881,No
28/6/2012,707454.6701,No
28/6/2012,679409.3117,No
28/6/2012,680493.0601,Yes
28/6/2012,681911.4707,No
28/6/2012,682408.0831,No
28/6/2012,682950.7215,No
28/6/2012,683636.6048,No
28/6/2012,683834.5373,No
28/6/2012,683892.7701,No
28/6/2012,685638.0454,No
28/6/2012,685708.7037,No
28/6/2012,685992.9221,No
28/6/2012,686655.2978,No
28/6/2012,687462.3727,No
28/6/2012,687953.7402,No
28/6/2012,689117.0403,No
28/6/2012,689847.5936,No
28/6/2012,691895.8767,No
28/6/2012,693070.7628,No
28/6/2012,693172.4832,No
28/6/2012,694096.2757,No
28/6/2012,695033.8675,No
28/6/2012,695118.9411,No
28/6/2012,695547.9458,No
28/6/2012,695980.2055,No
28/6/2012,696140.436,No
28/6/2012,696439.4572,No
28/6/2012,696483.0633,No
28/6/2012,697351.2168,No
28/6/2012,697532.331,No
28/6/2012,697562.225,No
28/6/2012,697943.0228,No
28/6/2012,698086.7112,No
28/6/2012,698809.1275,No
28/6/2012,699748.8248,No
28/6/2012,700525.7881,No
28/6/2012,701422.3603,No
28/6/2012,701869.9863,No
28/6/2012,702544.4104,No
28/6/2012,702616.9744,No
28/6/2012,703107.4673,No
28/6/2012,704757.2412,No
28/6/2012,704937.4844,No
28/6/2012,705155.1683,No
28/6/2012,705901.4938,No
28/6/2012,748416.836,No
28/6/2012,748474.9436,No
28/6/2012,748960.1911,No
28/6/2012,749200.7094,No
28/6/2012,749265.4919,No
28/6/2012,749742.063,No
28/6/2012,750044.7863,No
28/6/2012,750126.6081,No
28/6/2012,750137.6766,No
28/6/2012,750144.3916,No
28/6/2012,750161.1013,No
28/6/2012,750161.6141,No
28/6/2012,750205.7985,No
28/6/2012,750225.4816,No
28/6/2012,750655.5678,No
28/6/2012,752074.4997,No
28/6/2012,752155.9044,No
28/6/2012,752462.7669,No
28/6/2012,752525.2937,No
28/6/2012,752584.1613,No
28/6/2012,752598.6856,No
28/6/2012,752637.8499,No
28/6/2012,752897.3402,No
28/6/2012,752929.6836,No
28/6/2012,753043.4686,No
28/6/2012,753303.0373,No
28/6/2012,753333.6929,No
